+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[13]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[4]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 | baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[13]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/U_HANDSHAKE/take_it_tg_dest_reg/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[5]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[3]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[3]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[4]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gcx.clkx/rd_pntr_cdc_inst/dest_graysync_ff_reg[0][3]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_size_r_reg[8]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[7]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[1]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/gntv_or_sync_fifo.gcx.clkx/rd_pntr_cdc_inst/dest_graysync_ff_reg[0][1]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 | baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[10]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[12]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[14]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[7]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[12]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[3]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[7]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[4]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[6]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/U_FIFO/U0/inst_fifo_gen/gconvfifo.rf/grf.rf/rstblk/ngwrdrst.grst.g7serrst.gsckt_wrst.gic_rst.xpm_cdc_sync_rst_inst_wrst/syncstages_ff_reg[0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[10]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[9]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[8]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[8]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[9]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[3]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[10]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[14]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[6]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[0]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[5]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |  baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[4]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[2]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 | baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[14]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[13]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[5]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[1]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[2]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM1_WR/dma_addr_r_reg[11]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 | baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_start_addr_r_reg[12]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[5]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[11]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_size_r_reg[8]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_4/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_6/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_3/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_7/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[11]_replica_6/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[10]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[11]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[3]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[8]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[12]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[7]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[8]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[2]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[12]_replica_5/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[12]_replica_8/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_1/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[3]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[10]_replica_7/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[11]_replica_2/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_8/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_2/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[4]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[10]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[14]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[1]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[8]_replica_3/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[1]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[3]_replica_6/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[9]_replica_1/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[13]_replica_5/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |       baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[12]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[14]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |        baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[5]/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[10]_replica_1/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[8]_replica_2/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[7]_replica_6/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[10]_replica_4/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[10]_replica_5/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[12]_replica_2/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[11]_replica/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[11]_replica_5/D|
| clk_out1_baseDesign_clk_wiz_0_0 |               clk_fpga_0 |baseDesign_i/dram_test_0/U0/accelerator_v1_0_S00_AXI_inst/U_WRAPPER/U_DRAM0_RD/dma_addr_r_reg[12]_replica_3/D|
